"SYMBOL 
"
NIFTY 200
POLYCAB
TRENT
GLENMARK
DIXON
NYKAA
BEL
HINDALCO
ESCORTS
LTF
NHPC
MAZDOCK
OIL
BSE
NATIONALUM
PAYTM
COCHINSHIP
IRFC
IRB
BDL
BHEL
HAVELLS
APLAPOLLO
ABCAPITAL
JINDALSTEL
ATGL
ENRIN
ABFRL
HAL
ADANIPOWER
TORNTPOWER
SWIGGY
IDFCFIRSTB
ADANIGREEN
ADANIENSOL
ADANIENT
HUDCO
ASHOKLEY
INDIGO
SBICARD
HINDZINC
SJVN
GMRAIRPORT
ADANIPORTS
MRF
UPL
GAIL
YESBANK
LICI
BHARATFORG
CHOLAFIN
VBL
COLPAL
MFSL
DIVISLAB
BIOCON
OBEROIRLTY
KPITTECH
PAGEIND
AMBUJACEM
BAJFINANCE
ETERNAL
MARICO
NMDC
RVNL
COALINDIA
SOLARINDS
VEDL
SAIL
TATACONSUM
CANBK
COFORGE
PNB
SBILIFE
GRASIM
AUROPHARMA
IDEA
VMM
AUBANK
PETRONET
PHOENIXLTD
RECLTD
BAJAJFINSV
PERSISTENT
ICICIGI
TATASTEEL
TATAELXSI
PFC
HDFCLIFE
MANKIND
IRCTC
INDIANB
IREDA
NESTLEIND
BANKBARODA
SRF
TATAPOWER
BANKINDIA
KOTAKBANK
IOC
LODHA
SUPREMEIND
VOLTAS
INDUSINDBK
JUBLFOOD
HDFCAMC
BHARTIARTL
DLF
EICHERMOT
UNIONBANK
DMART
DABUR
TORNTPHARM
ALKEM
ONGC
IGL
EXIDEIND
KALYANKJIL
APOLLOTYRE
FEDERALBNK
CONCOR
CIPLA
M&MFIN
PRESTIGE
MUTHOOTFIN
PIIND
POLICYBZR
PIDILITIND
ACC
JIOFIN
HINDUNILVR
BPCL
NTPC
JSWSTEEL
INDUSTOWER
INDHOTEL
MPHASIS
BANDHANBNK
BRITANNIA
TITAN
DRREDDY
HYUNDAI
SUNPHARMA
SHREECEM
CUMMINSIND
ULTRACEMCO
LTIM
ABB
APOLLOHOSP
AXISBANK
POWERGRID
ICICIPRULI
LUPIN
MAHABANK
ZYDUSLIFE
BAJAJHFL
MOTILALOFS
MARUTI
TATACOMM
TECHM
RELIANCE
ITC
SBIN
HINDPETRO
NAUKRI
TATAMOTORS
PREMIERENE
ICICIBANK
JSWENERGY
SUZLON
LICHSGFIN
BAJAJ-AUTO
HDFCBANK
ASIANPAINT
TATATECH
GODREJPROP
MAXHEALTH
CGPOWER
SHRIRAMFIN
WAAREEENER
TVSMOTOR
BAJAJHLDNG
WIPRO
MOTHERSON
TCS
GODREJCP
HCLTECH
OFSS
BHARTIHEXA
M&M
HEROMOTOCO
SONACOMS
PATANJALI
LT
UNITDSPR
NTPCGREEN
BOSCHLTD
TIINDIA
INFY
SIEMENS
ASTRAL
ABLBL
OLAELEC
NIFTY 500
ZEEL
CHENNPETRO
MRPL
KEI
KFINTECH
DBREALTY
PTCIL
ZENTEC
POLYCAB
ALKYLAMINE
ELGIEQUIP
SUMICHEM
BEML
GRSE
POONAWALLA
SAMMAANCAP
NH
TRENT
SCI
ANGELONE
GLENMARK
ITI
DIXON
NYKAA
JYOTICNC
NAVA
KPIL
LINDEINDIA
CCL
ECLERX
EMCURE
BEL
GPPL
LLOYDSME
BERGEPAINT
JSL
JUBLINGREA
RBLBANK
AMBER
FINCABLES
WESTLIFE
HINDALCO
RRKABEL
CHAMBLFERT
ESCORTS
MCX
LTF
SWANENERGY
GRANULES
JBCHEPHARM
NHPC
CRAFTSMAN
DATAPATTNS
MAZDOCK
OIL
BSE
NBCC
POLYMED
NATIONALUM
NLCINDIA
PAYTM
COCHINSHIP
IRFC
AAVAS
KIRLOSBROS
NETWORK18
IRB
CDSL
RKFORGE
BDL
BHEL
HAVELLS
ASTERDM
LAURUSLABS
INDIACEM
EIDPARRY
SCHNEIDER
DALBHARAT
360ONE
GILLETTE
APLAPOLLO
ABCAPITAL
AADHARHFC
MEDANTA
HINDCOPPER
JINDALSTEL
THERMAX
RAINBOW
WHIRLPOOL
ANANDRATHI
KANSAINER
ATGL
ENRIN
ABFRL
ENGINERSIN
SAREGAMA
NUVAMA
HAL
ADANIPOWER
IIFL
TORNTPOWER
TTML
TITAGARH
WOCKPHARMA
SWIGGY
RAYMONDLSL
IDFCFIRSTB
KAJARIACER
CAMS
ADANIGREEN
ADANIENSOL
ADANIENT
STARHEALTH
IGIL
CENTRALBK
HUDCO
ASHOKLEY
NAM-INDIA
NSLNISP
INDIGO
SBICARD
HINDZINC
JSWINFRA
SOBHA
SJVN
DEEPAKFERT
GESHIP
GMRAIRPORT
GMDCLTD
DELHIVERY
JWL
ADANIPORTS
MRF
UPL
AIAENG
GAIL
AARTIIND
COHANCE
YESBANK
LICI
BHARATFORG
PFIZER
CHOLAFIN
VBL
COLPAL
RITES
MFSL
MASTEK
CLEAN
ANANTRAJ
CRISIL
ATUL
DIVISLAB
BIOCON
IFCI
CANFINHOME
HFCL
RHIM
OBEROIRLTY
HONAUT
KPITTECH
GNFC
EIHOTEL
ARE&M
FACT
PAGEIND
NIVABUPA
AMBUJACEM
BAJFINANCE
DCMSHRIRAM
HONASA
ETERNAL
GRAVITA
MARICO
TECHNOE
NMDC
PVRINOX
RVNL
COALINDIA
SOLARINDS
RADICO
FIVESTAR
JUBLPHARMA
SAPPHIRE
VEDL
SAIL
TATACONSUM
NCC
SUNDARMFIN
CANBK
COFORGE
PNB
SBILIFE
GRASIM
NEULANDLAB
GLAND
AUROPHARMA
KPRMILL
IDEA
COROMANDEL
RCF
GUJGASLTD
BBTC
VMM
RAMCOCEM
AUBANK
PETRONET
PHOENIXLTD
CESC
HSCL
RECLTD
BAJAJFINSV
AIIL
TRIDENT
MAPMYINDIA
PERSISTENT
MANAPPURAM
EMAMILTD
GRAPHITE
JYOTHYLAB
CROMPTON
CREDITACC
HOMEFIRST
LEMONTREE
ICICIGI
SAGILITY
ROUTE
TATASTEEL
SBFC
NIACL
TATAELXSI
OLECTRA
PFC
HDFCLIFE
MANKIND
VGUARD
IRCTC
SYNGENE
MINDACORP
INDIANB
INTELLECT
ERIS
AFFLE
BASF
IREDA
NESTLEIND
PNCINFRA
BANKBARODA
SRF
PNBHOUSING
TATAPOWER
BANKINDIA
KOTAKBANK
IOC
LODHA
UBL
INDIAMART
SUPREMEIND
JBMA
VOLTAS
CERA
PRAJIND
MAHSEAMLES
INDUSINDBK
POWERINDIA
JUBLFOOD
HDFCAMC
FIRSTCRY
BHARTIARTL
FORTIS
SHYAMMETL
DLF
EICHERMOT
UNIONBANK
IDBI
VIJAYA
VTL
DMART
DABUR
AEGISLOG
MANYAVAR
CUB
TORNTPHARM
ALKEM
LATENTVIEW
ONGC
IGL
EXIDEIND
HEG
KALYANKJIL
TATACHEM
APOLLOTYRE
IEX
FEDERALBNK
CYIENT
ELECON
CONCOR
NETWEB
BRIGADE
BATAINDIA
CIPLA
M&MFIN
AWL
PRESTIGE
MGL
MUTHOOTFIN
PIIND
BLUESTARCO
POLICYBZR
PIDILITIND
SKFINDIA
ACC
NEWGEN
FLUOROCHEM
SARDAEN
TRIVENI
JIOFIN
HINDUNILVR
BPCL
NTPC
JSWSTEEL
JMFINANCIL
KARURVYSYA
TBOTEK
INDUSTOWER
INDHOTEL
ALOKINDS
MPHASIS
BANDHANBNK
3MINDIA
HAPPSTMNDS
DOMS
ABSLAMC
BRITANNIA
TATAINVEST
TITAN
DRREDDY
HYUNDAI
SUNPHARMA
NAVINFLUOR
SHREECEM
CUMMINSIND
PGEL
GODFRYPHLP
APTUS
GICRE
ULTRACEMCO
PPLPHARMA
SUNDRMFAST
LTIM
ABB
APOLLOHOSP
AXISBANK
POWERGRID
IRCON
FSL
KAYNES
TEJASNET
SIGNATURE
ICICIPRULI
LUPIN
MAHABANK
ZYDUSLIFE
BAJAJHFL
KIMS
MOTILALOFS
MARUTI
BIKAJI
RAILTEL
TATACOMM
RAYMOND
TECHM
TRITURBINE
BAYERCROP
RELIANCE
PCBL
JUSTDIAL
JKCEMENT
ITC
SBIN
CHALET
NATCOPHARM
BALRAMCHIN
LTTS
UTIAMC
BLUEDART
IPCALAB
HINDPETRO
DEEPAKNTR
NAUKRI
JPPOWER
SUNTV
INOXINDIA
TATAMOTORS
PREMIERENE
GSPL
JSWHL
DEVYANI
KIRLOSENG
PEL
ICICIBANK
RENUKA
CARBORUNIV
AJANTPHARM
IOB
ACE
JSWENERGY
SUZLON
